,title,price,area_in_sqft,location
321,"146.66 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft (146.66 Sq. Yards),"Adikmet, Hyderabad"
322,"146.66 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft (146.66 Sq. Yards),"Adikmet, Hyderabad"
323,"147 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
324,"167 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1503 sq.ft (167 Sq. Yards),Freehold
325,"147 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
326,"150 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
327,"165 Sq. Yards Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Adikmet, Hyderabad"
328,"190 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1710 sq.ft (190 Sq. Yards),"Adikmet, Hyderabad"
329,"1470 Sq.ft. Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1470 sq.ft,Freehold
330,"0147 Sq. Yards Residential Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (0147 Sq. Yards),Freehold
331,"165 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Adikmet, Hyderabad"
332,"2 BHK 960 Sq.ft. Independent House  for Sale in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",960 sq.ft,3
333,"165 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Adikmet, Hyderabad"
334,"1200 Sq.ft. Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1200 sq.ft,"Adikmet, Hyderabad"
335,"150 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
336,"146 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Adikmet, Hyderabad"
337,"147 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
338,"1200 Sq.ft. Residential Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1200 sq.ft,"Adikmet, Hyderabad"
339,"500 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",4500 sq.ft (500 Sq. Yards),"Adikmet, Hyderabad"
340,"120 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Adikmet, Hyderabad"
341,"1323 Sq.ft. Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft,"Adikmet, Hyderabad"
342,"200 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
343,"100 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Adikmet, Hyderabad"
344,"165 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Adikmet, Hyderabad"
345,"150 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
346,"150 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
347,"147 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
348,"165 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Adikmet, Hyderabad"
349,"150 Sq. Yards Residential Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
350,"120 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Adikmet, Hyderabad"
351,"200 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
352,"200 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
353,"146.66 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft (146.66 Sq. Yards),"Adikmet, Hyderabad"
354,"146.66 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft (146.66 Sq. Yards),"Adikmet, Hyderabad"
355,"146.66 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1320 sq.ft (146.66 Sq. Yards),Freehold
356,"200 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),East Face
357,"200 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
358,"150 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
359,"202 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1818 sq.ft (202 Sq. Yards),"Adikmet, Hyderabad"
360,"1800 Sq.ft. Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft,"Adikmet, Hyderabad"
361,"2 Guntha Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2178 sq.ft (2 Guntha),"Adikmet, Hyderabad"
362,"150 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Adikmet, Hyderabad"
363,"200 Sq. Yards Plots  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
364,"147 Sq. Yards Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Adikmet, Hyderabad"
365,"200 Sq. Yards Land for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
366,"200 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Unfurnished
367,"1818 Sq.ft. Residential Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1818 sq.ft,"Adikmet, Hyderabad"
368,"200 Sq. Yards Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Adikmet, Hyderabad"
369,"605 Sq. Yards Lands for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",5445 sq.ft (605 Sq. Yards),"Adikmet, Hyderabad"
370,"165 Sq. Yards Land  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Adikmet, Hyderabad"
371,"165 Sq. Yards Plot for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),Freehold
372,"5 Acre Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",217800 sq.ft (5 Acre),"Adikmet, Hyderabad"
373,"200 Sq. Yards Open Plots for Sale  in Adikmet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Unfurnished
