,title,price,area_in_sqft,location
61,"1 RK 1210 Sq.ft. Farm House for Sale in Mohan Reddy Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1210 sq.ft,1
62,"120 Sq. Yards Plot  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Aleru, Hyderabad"
63,"166 Sq. Yards Lands  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1494 sq.ft (166 Sq. Yards),"Shadnagar, Hyderabad"
64,"760 Sq. Yards Lands for Sale  in Peerzadiguda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",6840 sq.ft (760 Sq. Yards),"Peerzadiguda, Hyderabad"
65,"120 Sq. Yards Plot  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Aleru, Hyderabad"
66,"200 Sq.ft. Residential Plots  in Bibi Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",200 sq.ft,"Bibi Nagar, Hyderabad"
67,"2000 Sq.ft. Residential Plots for Sale  in Patancheru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",2000 sq.ft,"Patancheru, Hyderabad"
68,"200 Sq. Yards Plots for Sale  in Khajaguda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Khajaguda, Hyderabad"
69,"217800 Sq.ft. Residential Plots for Sale  in Srisailam Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",217800 sq.ft,"Srisailam Highway, Hyderabad"
70,"2 BHK 1037 Sq.ft. Independent House  for Sale in Bandlaguda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1037 sq.ft,2
71,"146 Sq. Yards Land for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1314 sq.ft (146 Sq. Yards),"Yadagirigutta, Hyderabad"
72,"150 Sq. Yards Plots  in Sagar Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Sagar Highway, Hyderabad"
73,"100 Sq. Yards Residential Plots for Sale  in Shamshabad, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),Freehold
74,"10896 Sq.ft. Open Plots for Sale  in Sri Sailam Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",10896 sq.ft,"Sri Sailam Highway, Hyderabad"
75,"900 Sq.ft. Plot for Sale  in Shamshabad, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft,Freehold
76,"121 Sq. Yards Lands for Sale  in Bangalore Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Bangalore Highway, Hyderabad"
77,"150 Sq. Yards Residential Plots  in Rajapur, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),Freehold
78,"100 Sq. Yards Open Plots for Sale  in Shamshabad, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),Freehold
79,"100 Sq. Yards Residential Plots for Sale  in Shamshabad, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Shamshabad, Hyderabad"
80,"147 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),"Shadnagar, Hyderabad"
81,"1079 Sq.ft. Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1079 sq.ft,"Yadagirigutta, Hyderabad"
82,"121 Sq. Yards Land for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
83,"130 Sq. Yards Plot for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1170 sq.ft (130 Sq. Yards),"Aleru, Hyderabad"
84,"1089 Sq.ft. Lands for Sale  in Chotuppal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft,Freehold
85,"500 Sq. Yards Plots for Sale  in Moinabad, Hyderabad","<span class=""pro-rice"">Call for Price</span>",4500 sq.ft (500 Sq. Yards),"Moinabad, Hyderabad"
86,"121 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
87,"150 Sq. Yards Plots  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Aleru, Hyderabad"
88,"100 Sq. Yards Lands for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Shadnagar, Hyderabad"
89,"125 Sq. Yards Plot for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1125 sq.ft (125 Sq. Yards),Freehold
90,"3 BHK 1600 Sq.ft. Flats / Apartments for Sale in Mokila, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1600 sq.ft,3
91,"121 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
92,"121 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
93,"121 Sq. Yards Open Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
94,"146.6 Sq. Yards Land for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1319 sq.ft (146.6 Sq. Yards),"Shadnagar, Hyderabad"
95,"150 Sq. Yards Residential Plots for Sale  in Bhongir, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Bhongir, Hyderabad"
96,"121 Sq. Yards Lands for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
97,"150 Sq. Yards Residential Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
98,"100 Sq. Yards Lands  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),"Yadagirigutta, Hyderabad"
99,"121 Sq. Yards Lands  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Yadagirigutta, Hyderabad"
100,"200 Sq. Yards Plots  in Yacharam Mandal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Yacharam Mandal, Hyderabad"
101,"1350 Sq.ft. Open Plots for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft,"Yadagirigutta, Hyderabad"
102,"200 Sq. Yards Plots for Sale  in Bhongir, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Bhongir, Hyderabad"
103,"165 Sq. Yards Lands for Sale  in Patancheru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1485 sq.ft (165 Sq. Yards),"Patancheru, Hyderabad"
104,"121 Sq. Yards Land for Sale  in Ramoji Film City, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1089 sq.ft (121 Sq. Yards),"Ramoji Film City, Hyderabad"
105,"200 Sq. Yards Land  in Yacharam Mandal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Yacharam Mandal, Hyderabad"
106,"100 Sq. Yards Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",900 sq.ft (100 Sq. Yards),Freehold
107,"200 Sq. Yards Residential Plots for Sale  in Kadthal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),"Kadthal, Hyderabad"
108,"150 Sq. Yards Open Plots for Sale  in Nizampet, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Nizampet, Hyderabad"
109," 120 Sq. Yards Farm House for Sale in Warangal Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Warangal Highway, Hyderabad"
110,"150 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1350 sq.ft (150 Sq. Yards),"Shadnagar, Hyderabad"
111,"2 BHK 850 Sq.ft. Independent House  for Sale in Bandlaguda, Hyderabad","<span class=""pro-rice"">Call for Price</span>",850 sq.ft,Freehold
112,"170 Sq. Yards Plots  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1530 sq.ft (170 Sq. Yards),"Shadnagar, Hyderabad"
113,"10500 Sq. Yards Open Plots for Sale  in Shadnagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",94500 sq.ft (10500 Sq. Yards),"Shadnagar, Hyderabad"
114,"3 BHK 1450 Sq.ft. Flats / Apartments for Sale in Pragathi Nagar, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1450 sq.ft,2
115,"147 Sq. Yards Residential Plots for Sale  in Amangal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
116,"147 Sq. Yards Plot for Sale  in Srisailam Highway, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1323 sq.ft (147 Sq. Yards),Freehold
117,"200 Sq. Yards Land for Sale  in Amangal, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1800 sq.ft (200 Sq. Yards),Freehold
118,"120 Sq. Yards Land for Sale  in Yadagirigutta, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Yadagirigutta, Hyderabad"
119,"120 Sq. Yards Open Plots for Sale  in Aleru, Hyderabad","<span class=""pro-rice"">Call for Price</span>",1080 sq.ft (120 Sq. Yards),"Aleru, Hyderabad"
